experiment,experiment_role,n_features,feature_subset,test_accuracy,test_macro_f1,test_mae_crack,test_mae_wear,delta_acc_vs_full16,delta_macro_f1_vs_full16,delta_mae_crack_vs_full16,delta_mae_wear_vs_full16
E0_full16,core,16,"FC_Hz, FRMS_Hz, FRVF_Hz, m0, m1, m2, a1, a2, a3, a4, a5, f1_Hz, f2_Hz, f3_Hz, f4_Hz, f5_Hz",0.9430555555555555,0.9424437010886528,0.13963158428668976,0.1538643091917038,0.0,0.0,0.0,0.0
E1_minus_fc_family,core,13,"m0, m1, m2, a1, a2, a3, a4, a5, f1_Hz, f2_Hz, f3_Hz, f4_Hz, f5_Hz",0.9277777777777778,0.9263147962667283,0.09803792834281921,0.16915498673915863,-0.015277777777777724,-0.016128904821924528,-0.041593655943870544,0.015290677547454834
E2_minus_moment_family,core,13,"FC_Hz, FRMS_Hz, FRVF_Hz, a1, a2, a3, a4, a5, f1_Hz, f2_Hz, f3_Hz, f4_Hz, f5_Hz",0.9416666666666667,0.9405647924609436,0.11842849850654602,0.157266303896904,-0.001388888888888884,-0.0018789086277092304,-0.021203085780143738,0.0034019947052001953
E3_minus_a_family,core,11,"FC_Hz, FRMS_Hz, FRVF_Hz, m0, m1, m2, f1_Hz, f2_Hz, f3_Hz, f4_Hz, f5_Hz",0.8263888888888888,0.8214806850458051,0.3148399889469147,0.32276636362075806,-0.1166666666666667,-0.12096301604284776,0.17520840466022491,0.16890205442905426
E4_minus_f_family,core,11,"FC_Hz, FRMS_Hz, FRVF_Hz, m0, m1, m2, a1, a2, a3, a4, a5",0.5166666666666667,0.49828495742363027,0.938096821308136,0.8765916228294373,-0.4263888888888888,-0.44415874366502256,0.7984652370214462,0.7227273136377335
E5_only_fc_family,core,3,"FC_Hz, FRMS_Hz, FRVF_Hz",0.09583333333333334,0.05658875238598863,1.8565651178359985,1.4991258382797241,-0.8472222222222222,-0.8858549487026642,1.7169335335493088,1.3452615290880203
E6_only_moment_family,core,3,"m0, m1, m2",0.20416666666666666,0.16534623914973026,1.4890638589859009,1.0909205675125122,-0.7388888888888889,-0.7770974619389226,1.3494322746992111,0.9370562583208084
E7_only_a_family,core,5,"a1, a2, a3, a4, a5",0.44583333333333336,0.4212919243345635,1.0314838886260986,0.960071861743927,-0.4972222222222222,-0.5211517767540894,0.8918523043394089,0.8062075525522232
E8_only_f_family,core,5,"f1_Hz, f2_Hz, f3_Hz, f4_Hz, f5_Hz",0.7722222222222223,0.7593792125608451,0.37311887741088867,0.3959124982357025,-0.17083333333333328,-0.18306448852780777,0.2334872931241989,0.24204818904399872
E9_current_selected_pipeline,reference,10,"f2_Hz, f4_Hz, f1_Hz, f5_Hz, f3_Hz, a2, m2, a1, a5, a4",0.9638888888888889,0.9633955740944056,0.11563665419816971,0.1519988626241684,0.02083333333333337,0.02095187300575274,-0.02399493008852005,-0.0018654465675354004
