severity,location_cm,n,MAE_cm,MAE_mm,RMSE_cm,STD_cm,Median_cm,Max_cm
Slight,1.5,15,0.11088533401489258,1.1088533401489258,0.22858008491063064,0.2068987793881609,0.05006885528564453,0.8419487476348877
Slight,2.2,60,0.04413379430770874,0.4413379430770874,0.10385774552852668,0.09480742036112959,0.02081882953643799,0.6798009872436523
Slight,2.5,8,0.0424652099609375,0.424652099609375,0.054789822881660254,0.037011668189172,0.03022754192352295,0.10849618911743164
Slight,3.5,7,0.061112982886178155,0.6111298288617816,0.06619385865536512,0.02747062590319906,0.07178807258605957,0.09212207794189453
Slight,4.5,15,0.6237434228261312,6.2374342282613116,0.9185714726994912,0.6979953639877158,0.2119889259338379,1.9153661727905273
Slight,5.5,7,0.0950091906956264,0.950091906956264,0.11361154508336425,0.06728776265307566,0.09163856506347656,0.2201519012451172
Slight,6.5,8,0.10324603319168091,1.032460331916809,0.16218021727502707,0.13370620032874772,0.08063793182373047,0.41546630859375
Moderate,1.5,10,0.07855561971664429,0.7855561971664429,0.10171379939088482,0.06810703665279895,0.061032772064208984,0.20885396003723145
Moderate,2.2,60,0.02931079864501953,0.2931079864501953,0.03673297991467182,0.022327050467518626,0.02438032627105713,0.12935447692871094
Moderate,2.5,6,0.10909310976664226,1.0909310976664226,0.1382084721431129,0.09295337652980848,0.09006953239440918,0.25643277168273926
Moderate,3.5,12,0.1443118453025818,1.4431184530258179,0.2005273738220444,0.14542221522423335,0.09834671020507812,0.5446600914001465
Moderate,4.5,10,0.21362566947937012,2.136256694793701,0.21634373733296522,0.03603526085942244,0.21515440940856934,0.27573204040527344
Moderate,5.5,11,0.24995548074895685,2.4995548074895684,0.34430521482387605,0.2483448659793889,0.17331314086914062,0.7576465606689453
Moderate,6.5,11,0.0940909819169478,0.940909819169478,0.13367759224713452,0.09959038291916211,0.07459354400634766,0.35622406005859375
Severe,1.5,13,0.021222334641676683,0.21222334641676682,0.025447071046622225,0.014614938657959063,0.014512300491333008,0.05283665657043457
Severe,2.2,30,0.13330683708190919,1.3330683708190918,0.14951086419038,0.06885356048318765,0.1308276653289795,0.28676366806030273
Severe,2.5,9,0.08907797601487902,0.8907797601487901,0.19744231043161078,0.1868947635833421,0.027315378189086914,0.5849761962890625
Severe,3.5,13,0.0787798074575571,0.7877980745755709,0.10609956120107898,0.07397137098913818,0.04949450492858887,0.23757529258728027
Severe,4.5,9,0.19043747584025064,1.9043747584025066,0.22463299569762074,0.1263635405116579,0.15448713302612305,0.40273046493530273
Severe,5.5,9,0.200315793355306,2.00315793355306,0.3821151611085181,0.3451395032325349,0.09111595153808594,1.114455223083496
Severe,6.5,157,0.12172356988214383,1.2172356988214383,0.16464637991405062,0.11122318356632259,0.08939361572265625,0.6933097839355469
