mechanism,severity,beam_cm,target_class,distance_crack_cm,distance_wear_cm,crack_mask,wear_mask,FC_Hz,FRMS_Hz,FRVF_Hz,m0,m1,m2,a1,a2,a3,a4,a5,f1_Hz,f2_Hz,f3_Hz,f4_Hz,f5_Hz,file_path,folder_all,all_index,segment_id,t0,t1
healthy,none,10.0,0,0.0,0.0,0,0,21.16251062776669,38.493772481260066,32.15460563851898,0.004806440300908574,0.10171634394970382,7.122041543252489,0.027063956386009048,0.018944756335590975,0.015820563460356513,0.007936629279122807,0.004995326709021438,58.199999999999946,57.99999999999995,58.39999999999995,57.79999999999995,57.599999999999945,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0000\F0000CH1.CSV,ALL0000,0,1,0.0,4.998
healthy,none,10.0,0,0.0,0.0,0,0,18.000609872516172,36.218075381174515,31.428124801424485,0.0045112587073992405,0.08120540802588531,5.917639027419648,0.018078024260288438,0.01743831519109296,0.011789732816135667,0.008988406989406941,0.007353783150167469,57.79999999999995,57.599999999999945,57.39999999999995,57.199999999999946,56.99999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0000 - copia\F0000CH1.CSV,ALL0000 - copia,0,1,0.0,4.998
healthy,none,10.0,0,0.0,0.0,0,0,12.107834587380603,31.007700094513787,28.54606464569049,0.003972016948711809,0.048092524193274803,3.819004787385472,0.013169513893943722,0.010142610660758824,0.009741681950160765,0.007485615599141642,0.005858463606265412,57.79999999999995,57.99999999999995,57.599999999999945,57.39999999999995,57.199999999999946,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0000 - copia (2)\F0000CH1.CSV,ALL0000 - copia (2),0,1,0.0,4.998
healthy,none,10.0,0,0.0,0.0,0,0,10.910695689556198,31.432768248302388,29.478392753360662,0.0037624768376395257,0.041051239814488605,3.7173983007145943,0.012021369259569408,0.009427401878705229,0.0077140313953962735,0.007474948271994478,0.005496250421261651,57.199999999999946,56.99999999999995,56.79999999999995,57.39999999999995,56.59999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0000 - copia (3)\F0000CH1.CSV,ALL0000 - copia (3),0,1,0.0,4.998
healthy,none,10.0,0,0.0,0.0,0,0,23.538479079132095,39.67778723914255,31.94161553265465,0.005156864033097381,0.12138473615699147,8.11858925226515,0.02943102792144291,0.02058093428769308,0.01659747589817727,0.009173409156328477,0.006280504190610167,58.199999999999946,57.99999999999995,58.39999999999995,57.79999999999995,57.599999999999945,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0001\F0001CH1.CSV,ALL0001,1,1,0.0,4.998
healthy,none,10.0,0,0.0,0.0,0,0,13.202764136714247,33.86441043286654,31.184696777681395,0.003944729382434531,0.05208133161944957,4.5238089259320535,0.015194543084191839,0.013261260819658255,0.007937641213403714,0.007253238530642017,0.004747596859137342,57.79999999999995,57.599999999999945,57.39999999999995,57.99999999999995,57.199999999999946,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0001 - copia\F0001CH1.CSV,ALL0001 - copia,1,1,0.0,4.998
healthy,none,10.0,0,0.0,0.0,0,0,13.926283109676293,31.54011194390448,28.299068892512537,0.004181147730233515,0.058227847014612366,4.159316542339612,0.013956717682130578,0.011164412172125122,0.010630760668902792,0.008735576604107818,0.007310219996660345,57.79999999999995,57.599999999999945,57.99999999999995,57.39999999999995,57.199999999999946,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0001 - copia (2)\F0001CH1.CSV,ALL0001 - copia (2),1,1,0.0,4.998
healthy,none,10.0,0,0.0,0.0,0,0,13.256551870292085,31.892638890785996,29.00696895451731,0.004031938375974269,0.05344960021892413,4.101047474678548,0.014579854436641945,0.012047528315586626,0.00901855939645099,0.008708380805282995,0.007104198361351623,57.199999999999946,56.99999999999995,57.39999999999995,56.79999999999995,56.59999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0001 - copia (3)\F0001CH1.CSV,ALL0001 - copia (3),1,1,0.0,4.998
healthy,none,10.0,0,0.0,0.0,0,0,25.931609669007642,41.31303074442886,32.1608166759545,0.005663025452119984,0.14685136557003095,9.665462182935952,0.030876020964605375,0.023126399472452933,0.0186460896314096,0.011282620208695785,0.007523703934823907,58.199999999999946,57.99999999999995,58.39999999999995,57.79999999999995,57.599999999999945,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0002\F0002CH1.CSV,ALL0002,2,1,0.0,4.998
healthy,none,10.0,0,0.0,0.0,0,0,16.52923613107056,34.333736758816094,30.093019668138844,0.004354360186472191,0.07197424772193128,5.132943648939477,0.017892431580184453,0.01643414243611949,0.010644577303953528,0.008401731698722754,0.007763809748897894,57.79999999999995,57.599999999999945,57.39999999999995,57.99999999999995,57.199999999999946,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\healthy\ALL0002 - copia\F0002CH1.CSV,ALL0002 - copia,2,1,0.0,4.998
