experiment,seed,epochs_trained,test_accuracy,test_macro_f1,test_mae_crack,test_mae_wear,description,apply_yeo_johnson,apply_winsorization
P0_full_pipeline,16,327,0.9555555555555556,0.9551167666718361,0.11454042047262192,0.16032229363918304,Yeo-Johnson + winsorization,True,True
P0_full_pipeline,42,266,0.9625,0.9620459241358629,0.11997915804386139,0.19162747263908386,Yeo-Johnson + winsorization,True,True
P0_full_pipeline,123,254,0.9638888888888889,0.9637009997762421,0.12003472447395325,0.18383441865444183,Yeo-Johnson + winsorization,True,True
P0_full_pipeline,145,296,0.9638888888888889,0.9635732408425007,0.11049939692020416,0.15906184911727905,Yeo-Johnson + winsorization,True,True
P0_full_pipeline,152,295,0.9708333333333333,0.9706188736730531,0.1201060488820076,0.15120847523212433,Yeo-Johnson + winsorization,True,True
P0_full_pipeline,521,279,0.9652777777777778,0.964955426102831,0.12302814424037933,0.15936151146888733,Yeo-Johnson + winsorization,True,True
P0_full_pipeline,1102,279,0.9763888888888889,0.9761894290688109,0.12088820338249207,0.17191553115844727,Yeo-Johnson + winsorization,True,True
P0_full_pipeline,2111,298,0.9611111111111111,0.9605933482158795,0.1252908855676651,0.16286101937294006,Yeo-Johnson + winsorization,True,True
P0_full_pipeline,27182,366,0.9638888888888889,0.9637636839287259,0.1217314675450325,0.15993960201740265,Yeo-Johnson + winsorization,True,True
P0_full_pipeline,31415,221,0.9666666666666667,0.9664251789515652,0.12922848761081696,0.17943541705608368,Yeo-Johnson + winsorization,True,True
P1_no_winsorization,16,253,0.9680555555555556,0.9678910231973344,0.10902714729309082,0.151759535074234,Yeo-Johnson without winsorization,True,False
P1_no_winsorization,42,338,0.9694444444444444,0.9692238916474837,0.11032601445913315,0.1821458488702774,Yeo-Johnson without winsorization,True,False
P1_no_winsorization,123,342,0.9652777777777778,0.9650897860792984,0.12954537570476532,0.1600104421377182,Yeo-Johnson without winsorization,True,False
P1_no_winsorization,145,400,0.9680555555555556,0.9678230113916971,0.1003299206495285,0.14256183803081512,Yeo-Johnson without winsorization,True,False
P1_no_winsorization,152,373,0.9680555555555556,0.967938153151363,0.10705992579460144,0.1627797931432724,Yeo-Johnson without winsorization,True,False
P1_no_winsorization,521,279,0.9694444444444444,0.9693152708186795,0.1273164451122284,0.16577516496181488,Yeo-Johnson without winsorization,True,False
P1_no_winsorization,1102,400,0.9736111111111111,0.973506135596296,0.10735246539115906,0.16904281079769135,Yeo-Johnson without winsorization,True,False
P1_no_winsorization,2111,395,0.975,0.974854498636969,0.10851015895605087,0.14550167322158813,Yeo-Johnson without winsorization,True,False
P1_no_winsorization,27182,400,0.9638888888888889,0.9637155144548125,0.11738003045320511,0.15741001069545746,Yeo-Johnson without winsorization,True,False
P1_no_winsorization,31415,327,0.9638888888888889,0.9637245121491796,0.13056854903697968,0.16783304512500763,Yeo-Johnson without winsorization,True,False
P2_no_yeo_johnson,16,238,0.9680555555555556,0.967863871873892,0.11877401918172836,0.16545774042606354,Winsorization without Yeo-Johnson,False,True
P2_no_yeo_johnson,42,295,0.9736111111111111,0.9734034796683888,0.11601129919290543,0.16461464762687683,Winsorization without Yeo-Johnson,False,True
P2_no_yeo_johnson,123,359,0.9680555555555556,0.9678159685842774,0.12057297676801682,0.1598101109266281,Winsorization without Yeo-Johnson,False,True
P2_no_yeo_johnson,145,275,0.9666666666666667,0.9663966070901019,0.11824490875005722,0.163619264960289,Winsorization without Yeo-Johnson,False,True
P2_no_yeo_johnson,152,253,0.9611111111111111,0.9608523789562088,0.11725771427154541,0.1445527970790863,Winsorization without Yeo-Johnson,False,True
P2_no_yeo_johnson,521,360,0.9666666666666667,0.9664497978223681,0.12397629767656326,0.1479126363992691,Winsorization without Yeo-Johnson,False,True
P2_no_yeo_johnson,1102,325,0.9708333333333333,0.9707088205200375,0.10881313681602478,0.1564946174621582,Winsorization without Yeo-Johnson,False,True
P2_no_yeo_johnson,2111,300,0.9652777777777778,0.9648749304471554,0.1184467226266861,0.16788268089294434,Winsorization without Yeo-Johnson,False,True
P2_no_yeo_johnson,27182,248,0.9694444444444444,0.9692595960059576,0.12524496018886566,0.18823082745075226,Winsorization without Yeo-Johnson,False,True
P2_no_yeo_johnson,31415,221,0.9569444444444445,0.956730440919169,0.14002437889575958,0.18716242909431458,Winsorization without Yeo-Johnson,False,True
P3_no_winsorization_no_yeo_johnson,16,369,0.9666666666666667,0.9663476079943863,0.11925473809242249,0.16188451647758484,Neither Yeo-Johnson nor winsorization,False,False
P3_no_winsorization_no_yeo_johnson,42,400,0.9652777777777778,0.9649004065188818,0.11197873950004578,0.16826024651527405,Neither Yeo-Johnson nor winsorization,False,False
P3_no_winsorization_no_yeo_johnson,123,400,0.9722222222222222,0.9720579292631687,0.10772933810949326,0.1646420806646347,Neither Yeo-Johnson nor winsorization,False,False
P3_no_winsorization_no_yeo_johnson,145,288,0.9652777777777778,0.9648921801416832,0.1199130192399025,0.16382935643196106,Neither Yeo-Johnson nor winsorization,False,False
P3_no_winsorization_no_yeo_johnson,152,219,0.9638888888888889,0.9637168162877616,0.14767660200595856,0.18355971574783325,Neither Yeo-Johnson nor winsorization,False,False
P3_no_winsorization_no_yeo_johnson,521,400,0.9638888888888889,0.9631483259012289,0.12858420610427856,0.1678568720817566,Neither Yeo-Johnson nor winsorization,False,False
P3_no_winsorization_no_yeo_johnson,1102,400,0.9680555555555556,0.9679789317652353,0.10876282304525375,0.1763911247253418,Neither Yeo-Johnson nor winsorization,False,False
P3_no_winsorization_no_yeo_johnson,2111,400,0.9638888888888889,0.9635294746818385,0.12062612175941467,0.1525772660970688,Neither Yeo-Johnson nor winsorization,False,False
P3_no_winsorization_no_yeo_johnson,27182,356,0.9597222222222223,0.9594319160055761,0.12141396105289459,0.16133242845535278,Neither Yeo-Johnson nor winsorization,False,False
P3_no_winsorization_no_yeo_johnson,31415,117,0.9527777777777777,0.9524562804328932,0.20029567182064056,0.2515653967857361,Neither Yeo-Johnson nor winsorization,False,False
