severity,location_cm,n,MAE_cm,MAE_mm,RMSE_cm,STD_cm,Median_cm,Max_cm
Slight,1.5,7,0.3002990654536656,3.002990654536656,0.37064948563273953,0.23466663852235373,0.20337343215942383,0.8085649013519287
Slight,2.5,17,0.17734282157000372,1.7734282157000374,0.3967108066267294,0.36578620731961914,0.10209274291992188,1.5802574157714844
Slight,3.2,60,0.15798457463582358,1.5798457463582356,0.22251086910311013,0.1580129614276786,0.13109326362609863,0.889155387878418
Slight,3.5,6,0.2985963424046834,2.9859634240468345,0.3664039748607593,0.23261667290968382,0.2662379741668701,0.6376862525939941
Slight,4.5,11,0.595583894036033,5.955838940360329,0.6808006495286052,0.345899240415169,0.6915915012359619,1.1582155227661133
Slight,5.5,13,0.8582393756279578,8.58239375627958,1.0423876440856674,0.6157626213779285,0.8614802360534668,2.0732829570770264
Slight,6.5,6,0.038530588150024414,0.38530588150024414,0.04428229079673635,0.023907698886005392,0.040706634521484375,0.07203292846679688
Moderate,1.5,11,0.2073891813104803,2.0738918131048028,0.2821957001189216,0.20071510831293884,0.13000154495239258,0.5911874771118164
Moderate,2.5,11,0.2202369516546076,2.202369516546076,0.2918674821713415,0.20087444711166438,0.17569947242736816,0.6819546222686768
Moderate,3.2,60,0.1519828995068868,1.519828995068868,0.21619922074068482,0.15506139179952455,0.09500885009765625,0.6940021514892578
Moderate,3.5,10,0.05603096485137939,0.560309648513794,0.06507255769432845,0.03488025138010192,0.04890131950378418,0.11040663719177246
Moderate,4.5,8,0.08246290683746338,0.8246290683746338,0.10262597425323405,0.06530770759448835,0.06109619140625,0.16601133346557617
Moderate,5.5,9,0.08035331302218968,0.8035331302218967,0.08594477035406124,0.03234315564793607,0.07325887680053711,0.12790966033935547
Moderate,6.5,11,0.025123206051913174,0.2512320605191318,0.028733536752495042,0.014624798021788416,0.025130271911621094,0.056003570556640625
Severe,1.5,13,0.14120815350459173,1.4120815350459173,0.1536110057503212,0.06293897846911936,0.15446782112121582,0.21516776084899902
Severe,2.5,10,0.14479143619537355,1.4479143619537354,0.23137124796913264,0.19022820912225674,0.09650266170501709,0.671586275100708
Severe,3.2,30,0.08451391061147054,0.8451391061147054,0.12589618042907966,0.0949078345651685,0.05411827564239502,0.42878293991088867
Severe,3.5,12,0.04031825065612793,0.4031825065612793,0.05054454642291478,0.03183805334035176,0.043166160583496094,0.11656308174133301
Severe,4.5,7,0.18319804327828543,1.8319804327828544,0.2704536461329262,0.21489748002214554,0.1506962776184082,0.6284017562866211
Severe,5.5,11,0.2746173251758922,2.7461732517589224,0.3329363317986328,0.19742116988622152,0.20500850677490234,0.717686653137207
Severe,6.5,157,0.07632942260450619,0.7632942260450618,0.18052443671618942,0.16411717915359442,0.04107809066772461,1.8747687339782715
